tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,Activity,Activity_Label
0.28858451,-0.020294171,-0.13290514,5,STANDING
0.27841883,-0.016410568,-0.12352019,5,STANDING
0.27965306,-0.019467156,-0.11346169,5,STANDING
0.27917394,-0.026200646,-0.12328257,5,STANDING
0.27662877,-0.016569655,-0.11536185,5,STANDING
0.27719877,-0.01009785,-0.10513725,5,STANDING
0.27945388,-0.019640776,-0.11002215,5,STANDING
0.27743247,-0.030488303,-0.12536043,5,STANDING
0.27729342,-0.021750698,-0.12075082,5,STANDING
0.28058569,-0.009960298,-0.10606516,5,STANDING
0.27688027,-0.012721805,-0.10343832,5,STANDING
0.27622817,-0.021441302,-0.10820234,5,STANDING
0.278457,-0.020414761,-0.11273172,5,STANDING
0.27717497,-0.014712802,-0.10675647,5,STANDING
0.29794572,0.027093908,-0.061668123,5,STANDING
0.27920345,-0.023020143,-0.12208028,5,STANDING
0.27903836,-0.014800378,-0.11684896,5,STANDING
0.2801349,-0.013916951,-0.10637048,5,STANDING
0.27773106,-0.018210718,-0.10918803,5,STANDING
0.27556818,-0.016979698,-0.11142918,5,STANDING
0.27756171,-0.014318487,-0.10787724,5,STANDING
0.27715238,-0.017983328,-0.10660117,5,STANDING
0.2756763,-0.021264234,-0.11080122,5,STANDING
0.2792002,-0.017714427,-0.10916135,5,STANDING
0.28171549,-0.011910678,-0.10287513,5,STANDING
0.27899267,-0.014531029,-0.10659617,5,STANDING
0.27573444,-0.01801884,-0.10677578,5,STANDING
0.26076161,-0.035370696,-0.13730782,5,STANDING
0.28981703,-0.010751748,-0.11994169,5,STANDING
0.28451133,-0.008544813,-0.089976474,5,STANDING
0.2852744,-0.004513206,-0.1137861,5,STANDING
0.27239664,-0.023659196,-0.11324183,5,STANDING
0.26580577,-0.032762393,-0.11731189,5,STANDING
0.278426,-0.017091944,-0.12529627,5,STANDING
0.27942505,-0.014947411,-0.1101951,5,STANDING
0.27526076,-0.016105674,-0.10343073,5,STANDING
0.27687455,-0.018606634,-0.112972,5,STANDING
0.2792417,-0.017290162,-0.11394039,5,STANDING
0.27884783,-0.01531619,-0.10701234,5,STANDING
0.27368218,-0.019975668,-0.10754792,5,STANDING
0.27394901,-0.021795449,-0.11743596,5,STANDING
0.32236308,0.034225504,-0.05735073,5,STANDING
0.2745262,-0.025134082,-0.12251223,5,STANDING
0.27380646,-0.019735938,-0.11988703,5,STANDING
0.27664268,-0.016755348,-0.099381423,5,STANDING
0.27436388,-0.023361777,-0.11033551,5,STANDING
0.27475366,-0.020102285,-0.12120311,5,STANDING
0.27872042,-0.014508176,-0.11530914,5,STANDING
0.27938002,-0.01543831,-0.11126972,5,STANDING
0.27734354,-0.01565033,-0.10844766,5,STANDING
0.27796276,-0.015040946,-0.10639918,5,STANDING
0.27997806,-0.015505193,-0.10621291,5,STANDING
0.27970111,-0.015808416,-0.10892197,5,STANDING
0.23601277,-0.026913144,0.18639534,5,STANDING
0.26731751,-0.032355179,-0.062924067,5,STANDING
0.28335241,-0.010728703,-0.11733272,5,STANDING
0.26927723,-0.032606502,-0.13028676,5,STANDING
0.2783618,-0.013656893,-0.12915439,5,STANDING
0.30643156,0.027459372,-0.10407181,5,STANDING
0.28749007,0.016839126,-0.06516443,5,STANDING
0.26287883,-0.022379352,-0.083592456,5,STANDING
0.27944197,-0.023078631,-0.12332077,5,STANDING
0.28643265,-0.023842891,-0.12273754,5,STANDING
0.27293268,-0.039067631,-0.11017159,5,STANDING
0.24847403,-0.037999251,-0.030083776,5,STANDING
0.26582646,-0.031669222,-0.083983249,5,STANDING
0.27605329,-0.015408535,-0.13171922,5,STANDING
0.26377017,-0.021187085,-0.081684886,5,STANDING
0.27088078,-0.038723153,-0.10844469,5,STANDING
0.43020885,0.10254087,-0.0556042,5,STANDING
0.29495455,0.009075787,-0.10264411,5,STANDING
0.27456461,-0.027991273,-0.12256318,5,STANDING
0.26924174,-0.025529403,-0.10009175,5,STANDING
0.27392022,-0.015952619,-0.098662111,5,STANDING
0.28827279,-0.006332133,-0.10540087,5,STANDING
0.28410731,-0.010061076,-0.10173142,5,STANDING
0.27010097,-0.023550544,-0.10116623,5,STANDING
0.27319016,-0.023302776,-0.10721116,5,STANDING
0.28011247,-0.012618021,-0.10563723,5,STANDING
0.27739954,-0.015537024,-0.11087508,5,STANDING
0.27487138,-0.019577012,-0.1118923,5,STANDING
0.27952882,-0.016447003,-0.10626443,5,STANDING
0.2813921,-0.0123645,-0.10487937,5,STANDING
0.28247452,-0.011067786,-0.13255126,5,STANDING
0.24075493,-0.015526029,-0.081665303,5,STANDING
0.28100578,-0.037916442,-0.20617762,5,STANDING
0.27311074,-0.019947006,-0.09147878,5,STANDING
0.28179384,-0.014159431,-0.098780316,5,STANDING
0.27412441,-0.029926296,-0.11795947,5,STANDING
0.27526771,-0.015050466,-0.11420397,5,STANDING
0.27619094,-0.015568594,-0.11880774,5,STANDING
0.27325437,-0.026320608,-0.12949951,5,STANDING
0.27907242,-0.017639768,-0.10625263,5,STANDING
0.2826611,-0.011751325,-0.10355633,5,STANDING
0.27867898,-0.013728366,-0.11144247,5,STANDING
0.27305103,-0.020057779,-0.10440918,5,STANDING
0.27745001,-0.015213574,-0.11366499,5,STANDING
0.28162614,-0.015273006,-0.108266,5,STANDING
0.36100048,0.041930333,-6.81E-05,5,STANDING
0.28447768,0.00303261,-0.20852469,5,STANDING
0.25600381,-0.050236136,-0.098153884,5,STANDING
0.28009789,-0.018414133,-0.11252228,5,STANDING
0.30283482,0.021142501,-0.13124183,5,STANDING
0.28430928,-0.003262257,-0.11664297,5,STANDING
0.28326382,-0.012030672,-0.057917237,5,STANDING
0.286952,-0.011682068,-0.068818839,5,STANDING
0.27267681,-0.017661164,-0.12805853,5,STANDING
0.27185147,-0.01783494,-0.12293669,5,STANDING
0.2754235,-0.021202006,-0.1100767,5,STANDING
0.2708317,-0.027725151,-0.11220416,5,STANDING
0.2727471,-0.023042517,-0.12040509,5,STANDING
0.277341,-0.016725672,-0.12175841,5,STANDING
0.28706553,-0.005986643,-0.10852538,5,STANDING
0.27864378,-0.012788195,-0.1094543,5,STANDING
0.19695721,0.056389711,0.12161435,5,STANDING
0.24892254,-0.05081451,-0.040399394,5,STANDING
0.29745142,-0.053719594,-0.15501218,5,STANDING
0.31015977,0.018052605,-0.2236719,5,STANDING
0.30170926,-0.002387743,-0.14306728,5,STANDING
0.28416228,-0.046540223,-0.10134398,5,STANDING
0.28272557,-0.02334463,-0.13606173,5,STANDING
0.28399551,-0.02101954,-0.12271536,5,STANDING
0.27880448,-0.017506022,-0.10882544,5,STANDING
0.27543356,-0.030908181,-0.12072162,5,STANDING
0.27435965,-0.02244621,-0.11482096,5,STANDING
0.271998,0.016903657,-0.078855736,5,STANDING
0.28471301,-0.007396342,-0.12004112,5,STANDING
0.27953649,-0.031443794,-0.11189953,5,STANDING
0.27751085,-0.018852345,-0.100455,5,STANDING
0.44771752,0.20709635,-0.11742993,5,STANDING
0.26047972,-0.032310015,-0.066292175,5,STANDING
0.27695929,-0.003010749,-0.11633288,5,STANDING
0.27982846,-0.005506631,-0.10796935,5,STANDING
0.2791094,-0.021106346,-0.11382425,5,STANDING
0.28098394,-0.00829966,-0.124802,5,STANDING
0.27802502,-0.017025198,-0.11254668,5,STANDING
0.27552393,-0.031934758,-0.11197509,5,STANDING
0.27697908,-0.023169356,-0.11972657,5,STANDING
0.27988052,-0.02071467,-0.11288727,5,STANDING
0.27583885,-0.019245117,-0.10385565,5,STANDING
0.27577535,-0.017373061,-0.1006749,5,STANDING
0.27900791,-0.020434043,-0.098528945,5,STANDING
0.24720227,0.019418831,0.26737702,5,STANDING
0.25878924,-0.004353032,-0.043405336,5,STANDING
0.29173316,-0.027753292,-0.17626409,5,STANDING
0.28283651,-0.008905483,-0.13381316,5,STANDING
0.27576663,-0.011643955,-0.11417818,5,STANDING
0.27471934,-0.021780337,-0.097792324,5,STANDING
0.27628775,-0.008681075,-0.10759362,5,STANDING
0.29063471,0.003149167,-0.17138725,5,STANDING
0.27903149,-0.006192167,-0.12312451,5,STANDING
0.27482438,-0.027215765,-0.090543881,5,STANDING
0.28056696,-0.016664014,-0.11129642,5,STANDING
0.27693786,-0.010382468,-0.10478033,5,STANDING
0.27427982,-0.018908339,-0.092310885,5,STANDING
0.28047468,-0.018976102,-0.11375647,5,STANDING
0.44245083,0.21276764,-0.11286631,5,STANDING
0.26595632,-0.006667442,-0.018811866,5,STANDING
0.27435711,-0.022380131,-0.1352067,5,STANDING
0.28316633,-0.016961363,-0.12031745,5,STANDING
0.27439504,-0.006747439,-0.089378654,5,STANDING
0.27963345,-0.0191739,-0.11921622,5,STANDING
0.28080467,-0.019856744,-0.1120879,5,STANDING
0.27275585,-0.008924917,-0.090548054,5,STANDING
0.27614594,-0.012170929,-0.1131444,5,STANDING
0.27866474,-0.032790496,-0.10908935,5,STANDING
0.28260973,-0.033830384,-0.11658414,5,STANDING
0.2805821,-0.011794506,-0.11432936,5,STANDING
0.27516393,-0.007123247,-0.099159739,5,STANDING
